2026-02-13 17:20:29,763 INFO    MainThread:490350 [wandb_setup.py:_flush():80] Current SDK version is 0.23.1
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_setup.py:_flush():80] Configure stats pid to 490350
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_setup.py:_flush():80] Loading settings from /home/chojnowski.h/.config/wandb/settings
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_setup.py:_flush():80] Loading settings from /blue/weishao/chojnowski.h/iSSL/wandb/settings
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_setup.py:_flush():80] Loading settings from environment variables
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_init.py:setup_run_log_directory():714] Logging user logs to output/wandb/MAE/wandb/run-20260213_172029-2b2o9asp/logs/debug.log
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_init.py:setup_run_log_directory():715] Logging internal logs to output/wandb/MAE/wandb/run-20260213_172029-2b2o9asp/logs/debug-internal.log
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_init.py:init():841] calling init triggers
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_init.py:init():846] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-02-13 17:20:29,764 INFO    MainThread:490350 [wandb_init.py:init():889] starting backend
2026-02-13 17:20:30,059 INFO    MainThread:490350 [wandb_init.py:init():892] sending inform_init request
2026-02-13 17:20:30,064 INFO    MainThread:490350 [wandb_init.py:init():900] backend started and connected
2026-02-13 17:20:30,065 INFO    MainThread:490350 [wandb_init.py:init():970] updated telemetry
2026-02-13 17:20:30,077 INFO    MainThread:490350 [wandb_init.py:init():994] communicating run to backend with 90.0 second timeout
2026-02-13 17:20:30,599 INFO    MainThread:490350 [wandb_init.py:init():1041] starting run threads in backend
2026-02-13 17:20:30,974 INFO    MainThread:490350 [wandb_run.py:_console_start():2521] atexit reg
2026-02-13 17:20:30,974 INFO    MainThread:490350 [wandb_run.py:_redirect():2369] redirect: wrap_raw
2026-02-13 17:20:30,974 INFO    MainThread:490350 [wandb_run.py:_redirect():2438] Wrapping output streams.
2026-02-13 17:20:30,974 INFO    MainThread:490350 [wandb_run.py:_redirect():2461] Redirects installed.
2026-02-13 17:20:30,982 INFO    MainThread:490350 [wandb_init.py:init():1081] run started, returning control to user process
2026-02-13 17:20:32,932 INFO    wandb-AsyncioManager-main:490350 [service_client.py:_forward_responses():80] Reached EOF.
2026-02-13 17:20:32,932 INFO    wandb-AsyncioManager-main:490350 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
